rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,wis,popularity,momentum,buzz,maintenance,trust,coverage,anomaly
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,711525,,,80.2,0.995,0.897,0.918,,0.7,C,
2,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,3054222,,,76.2,1,0.992,0.64,,0.7,C,
3,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,804086,,,75.5,0.998,0.843,0.722,,0.7,C,
4,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,930945,,,71.4,0.999,0.98,0.913,,0.2,C,
5,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,652720,,,71,0.994,0.818,0.521,,0.7,C,
6,web-design-guidelines,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,563537,,,68.6,0.973,0.82,0.428,,0.7,C,
7,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,358769,,,68,0.913,0.542,0.699,,0.7,C,
8,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,538312,,,67.1,0.971,0.745,0.417,,0.7,C,
9,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,475490,1123488,67.1,0.999,,0.829,0.8,0.2,B,
10,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,single,,,537244,,,66.9,0.968,0.753,0.403,,0.7,C,
11,api-gateway,clawhub,,,api-gateway,upstream,"Call third-party APIs through the Maton gateway, which injects the credential for an app the user has already connected. Use this skill when the user names a connected app and a concrete action in it ",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,85886,116806,64.7,0.971,,0.627,0.971,0.2,B,
12,azure-cloud-migrate,skills.sh,microsoft,microsoft/azure-skills,,single,,,470042,,,64.6,0.957,0.762,,,0.7,C,
13,azure-kusto,skills.sh,microsoft,microsoft/azure-skills,,single,,,536371,,,64.5,0.963,0.738,,,0.7,C,
14,azure-messaging,skills.sh,microsoft,microsoft/azure-skills,,single,,,526102,,,64.5,0.962,0.74,,,0.7,C,
15,azure-aigateway,skills.sh,microsoft,microsoft/azure-skills,,single,,,536446,,,64.4,0.963,0.737,,,0.7,C,
16,microsoft-foundry,skills.sh,microsoft,microsoft/azure-skills,,single,,,544746,,,64.2,0.972,0.757,0.262,,0.7,C,
17,azure-compute,skills.sh,microsoft,microsoft/azure-skills,,single,,,480166,,,64.2,0.957,0.735,,,0.7,C,
18,prisma-database-setup,skills.sh,prisma,prisma/skills,,single,,,218580,,,64,0.85,0.932,,,0.7,C,
19,prisma-client-api,skills.sh,prisma,prisma/skills,,single,,,217959,,,64,0.848,0.935,,,0.7,C,
20,prisma-cli,skills.sh,prisma,prisma/skills,,single,,,215902,,,63.9,0.848,0.933,,,0.7,C,
21,prisma-postgres,skills.sh,prisma,prisma/skills,,single,,,212162,,,63.8,0.846,0.93,,,0.7,C,
22,prisma-driver-adapter-implementation,skills.sh,prisma,prisma/skills,,single,,,207859,,,63.7,0.843,0.927,,,0.7,C,
23,prisma-upgrade-v7,skills.sh,prisma,prisma/skills,,single,,,207726,,,63.7,0.843,0.925,,,0.7,C,
24,prisma-postgres-setup,skills.sh,prisma,prisma/skills,,single,,,206585,,,63.7,0.841,0.928,,,0.7,C,
25,azure-quotas,skills.sh,microsoft,microsoft/azure-skills,,single,,,406414,,,63.5,0.933,0.732,,,0.7,C,
26,prisma-compute,skills.sh,prisma,prisma/skills,,single,,,203126,,,63.5,0.838,0.923,,,0.7,C,
27,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,792607,,,63.4,0.997,0.977,0.514,,0.2,C,
28,remotion-best-practices,skills.sh,remotion-dev,remotion-dev/skills,,single,,,489280,,,63.4,0.959,0.678,,,0.7,C,
29,prisma-mongodb-upgrade,skills.sh,prisma,prisma/skills,,single,,,201883,,,63.4,0.837,0.922,,,0.7,C,
30,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,,207556,383320,63.4,0.996,,0.923,0.44,0.2,B,
31,supabase-postgres-best-practices,skills.sh,supabase,supabase/agent-skills,,single,,,362280,,,63.3,0.914,0.76,,,0.7,C,
32,azure-upgrade,skills.sh,microsoft,microsoft/azure-skills,,single,,,398578,,,63.1,0.923,0.727,,,0.7,C,
33,azure-enterprise-infra-planner,skills.sh,microsoft,microsoft/azure-skills,,single,,,372714,,,63,0.919,0.728,,,0.7,C,
34,azure-kubernetes,skills.sh,microsoft,microsoft/azure-skills,,single,,,365887,,,63,0.916,0.733,,,0.7,C,
35,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,678377,,,62.8,0.995,0.967,0.498,,0.2,C,
36,azure-cost,skills.sh,microsoft,microsoft/azure-skills,,single,,,341107,,,62.7,0.899,0.75,,,0.7,C,
