rank,repo,stars,stars_1d,pushed_at,skills_tracked,topics
1,obra/superpowers,287795,516,2026-09-14,14,ai|brainstorming|coding|obra|sdlc|skills|superpowers|subagent-driven-development
2,mattpocock/skills,263875,852,2026-09-17,53,
3,anthropics/skills,176777,202,2026-09-10,18,agent-skills
4,anthropics/claude-code,145699,478,2026-09-17,1,
5,DietrichGebert/ponytail,140758,1154,2026-09-14,6,agent-skills|ai-agents|claude|claude-code|claude-code-plugin|cursor-rules|developer-tools|llm|prompt-engineering|yagni
6,nextlevelbuilder/ui-ux-pro-max-skill,128303,315,2026-09-15,1,ai-skills|antigravity|claude|claude-code|command-line|copilot|cursor-ai|html5|kiro|landing-page
7,shadcn-ui/ui,124118,199,2026-09-16,2,components|nextjs|radix-ui|react|tailwindcss|ui|shadcn|base-ui|laravel|tanstack
8,browser-use/browser-use,114880,125,2026-09-15,1,llm|ai-agents|ai-tools|browser-automation|python|browser-use|playwright
9,JuliusBrussee/caveman,106140,309,2026-09-17,21,ai|anthropic|caveman|claude|claude-code|llm|meme|prompt-engineering|skill|tokens
10,nexu-io/open-design,96643,220,2026-09-17,9,ai-design|byok|coding-agents|design-systems|local-first|claude-design|hermes-agent|agent-skills|desktop-app|figma-alternative
11,addyosmani/agent-skills,95681,721,2026-09-12,25,agent-skills|antigravity|claude-code|cursor|skills|codex
12,thedotmack/claude-mem,94080,82,2026-09-16,3,ai|ai-agents|ai-memory|anthropic|artificial-intelligence|claude|claude-agent-sdk|claude-agents|claude-code|claude-code-plugin
13,Leonxlnx/taste-skill,87796,323,2026-09-16,13,agent|ai|coding|lowcode|nocode|skill|skills|vibecoding|claude|claude-code
14,Egonex-AI/Understand-Anything,83105,110,2026-09-12,,claude-code|claude-skills|understandcode|codex|codex-skills|knowledge-graph|opencode-skills|antigravity-skills|gemini-cli-skills|pi-agent
15,bytedance/deer-flow,82564,,2026-09-17,1,agent|agentic|agentic-framework|agentic-workflow|ai|ai-agents|deep-research|langchain|langgraph|llm
16,ComposioHQ/awesome-claude-skills,75248,83,2026-08-10,,claude|claude-code|agent-skills|ai-agents|antigravity|automation|codex|composio|cursor|gemini-cli
17,stablyai/orca,70587,898,2026-09-17,3,claude-code|codex|ghostty|terminal|cli|cursor-agent|opencode|orchestration|worktrees|parallel-agents
18,code-yeongyu/oh-my-openagent,69131,48,2026-09-17,,opencode|ai|anthropic|claude|claude-skills|cursor|gemini|ide|openai|orchestration
19,pbakaus/impeccable,68597,260,2026-09-16,21,
20,diegosouzapw/OmniRoute,67177,,2026-09-17,2,a2a|ai-agents|ai-gateway|anthropic|claude|claude-code|cline|codex|copilot|cursor
21,shanraisshan/claude-code-best-practice,66012,62,2026-09-17,,claude-ai|claude-code|best-practices|claude|claude-code-best-practices|agentic-engineering|anthropic|claude-code-agents|claude-code-commands|claude-code-skills
22,tt-a1i/archify,65304,1382,2026-09-17,2,architecture-diagram|claude-skill|developer-tools|diagram-as-code|mermaid-alternative|system-design|agent-skills|codex|data-flow-diagram|opencode
23,heygen-com/hyperframes,50866,393,2026-09-17,38,ai|animation|ffmpeg|framework|gsap|html|mcp|puppeteer|rendering|typescript
24,coreyhaines31/marketingskills,50649,129,2026-09-05,61,claude|codex|marketing
25,kepano/obsidian-skills,48477,78,2026-09-15,5,claude|codex|obsidian|skills|clawdbot|cli|defuddle|opencode|openclaw|bases
26,ayghri/i-have-adhd,47099,681,2026-09-16,,adhd|claude-|claude-code-plugin|claude-skills|developer-tools|productivity
27,sickn33/agentic-awesome-skills,46515,42,2026-09-16,,agentic-skills|ai-agents|antigravity|claude-code|mcp|ai-workflows|codex-cli|developer-tools|gemini-cli|skill-library
28,K-Dense-AI/scientific-agent-skills,45308,206,2026-09-14,,ai-scientist|bioinformatics|chemoinformatics|claude|claude-skills|claudecode|clinical-research|computational-biology|data-analysis|drug-discovery
29,vercel-labs/agent-browser,42740,82,2026-09-17,1,
30,PostHog/posthog,39827,,2026-09-17,1,analytics|python|react|javascript|typescript|ab-testing|experiments|feature-flags|session-replay|ai-analytics
31,wshobson/agents,39748,49,2026-09-14,3,anthropic|agent-skills|agentic-ai|ai-agents|cursor|cursor-rules|mcp|multi-agent|opencode|claude-code
32,herdrdev/herdr,39101,295,2026-09-17,1,agent|agent-orchestration|ai|ai-agents|claude-code|cli|codex|coding-agents|developer-tools|devtools
33,github/awesome-copilot,39097,47,2026-09-17,1,ai|github-copilot|prompt-engineering|hacktoberfest|agent-skills|agents|awesome|custom-agents
34,emilkowalski/skills,38401,301,2026-09-15,13,
35,CopilotKit/CopilotKit,37388,,2026-09-17,5,ai|llm|nextjs|open-source|react|reactjs|ts|typescript|agent|agents
36,anthropics/claude-plugins-official,36452,68,2026-09-17,,claude-code|mcp|skills
37,anthropics/financial-services,34882,,2026-09-16,1,
38,vercel-labs/skills,31837,94,2026-09-16,1,
39,feder-cr/AIHawk,31610,6,2026-09-16,,ai-agent|autonomous-agents|browser|browser-agent|computer-use|llm-agent|web-agent|web-automation|agentic-ai|job-hunting
40,vercel-labs/agent-skills,31260,29,2026-08-28,9,
41,vercel/turborepo,31098,9,2026-09-17,1,monorepo|javascript|typescript|build-tool|build-system
42,googleworkspace/cli,31029,11,2026-09-14,11,google-workspace|agent-skills|ai-agent|automation|cli|discovery-api|google-admin|google-api|google-calendar|google-chat
43,nanocoai/nanoclaw,30791,11,2026-09-16,,ai-agents|ai-assistant|claude-code|claude-skills|openclaw
44,davila7/claude-code-templates,30770,17,2026-09-17,,anthropic|anthropic-claude|claude|claude-code
45,zarazhangrui/frontend-slides,29434,62,2026-06-23,,ai-slides|anthropic|claude|claude-code|claude-skill|generative-ui|html|presentation|slides|vibe-coding
46,Nutlope/hallmark,28749,50,2026-08-06,1,
47,h4ckf0r0day/obscura,27301,,2026-09-14,1,antidetect|antidetect-browser|browser|browser-automation|cdp|headless|playwright|puppeteer|rust
48,OthmanAdi/planning-with-files,26949,27,2026-09-17,,claude|claude-code|claude-skills|manus|agent-skills|planning|autonomous-agents|codex|cursor|multi-agent-systems
49,vercel/ai,26892,118,2026-09-17,1,artificial-intelligence|javascript|language-model|llm|openai|react|svelte|typescript|vercel|nextjs
50,phuryn/pm-skills,26394,33,2026-09-14,,agent-skill-repository|product-management|agent-skills|agentic-skills|claude-code-marketplace|claude-code-plugins|claude-cowork-plugin
51,alirezarezvani/claude-skills,26054,55,2026-08-30,1,agentic-ai|anthropic-claude|claude-ai|claude-code|claude-skills|claude-code-skills|ai-coding-agent|claude-code-plugins|developer-tools|openai-codex
52,JimLiu/baoyu-skills,25967,30,2026-09-10,,agent-skills|claude-skills|codex-skills|openclaw-skills
53,titanwings/distilly,24815,36,2026-09-16,,agent-skills|ai-agent|claude-code|codex|hermes-agent|knowledge-distillation|meta-skill|openclaw|agentic-ai|ai-persona
54,anthropics/knowledge-work-plugins,24389,,2026-09-17,1,
55,alchaincyf/huashu-design,24220,42,2026-09-15,1,
56,mksglu/context-mode,23300,177,2026-09-16,,claude|claude-code|claude-code-plugins|mcp|skills|codex|copilot|opencode|antigravity|kiro
57,teng-lin/notebooklm-py,19358,24,2026-09-13,,python|sdk|skills|google-notebooklm|notebooklm|notebooklm-api|python-api|agentic-skill|claude-skills|openclaw-skills
58,every-app/open-seo,18941,,2026-09-12,8,backlink-analysis|keyword-research|mcp|seo|seo-tools|site-audit|google-search-console-mcp|seo-agent|seo-skills|seo-audit
59,op7418/Humanizer-zh,17423,95,2026-01-19,1,
60,larksuite/cli,17245,23,2026-09-17,28,
61,wanshuiyin/Auto-claude-code-research-in-sleep,16242,67,2026-09-17,,ai-research|autonomous-agent|claude-code|codex|mcp|ml-research|paper-review|research-automation|ai-tools|claude
62,vercel-labs/json-render,16189,,2026-09-16,1,
63,greensock/gsap-skills,15385,31,2026-07-29,8,
64,yusufkaraaslan/Skill_Seekers,14988,8,2026-09-16,,ai-tools|automation|claude-ai|claude-skills|documentation|documentation-generator|python|web-scraping|mcp|mcp-server
65,NevaMind-AI/memU,14410,0,2026-09-14,,mcp|memory|sandbox|agent-memory|claude-skills|skills|openclaw|openclaw-skills|harness|loop-engineering
66,microsoft/playwright-cli,13352,23,2026-09-14,1,playwright
67,Orchestra-Research/AI-Research-SKILLs,12768,53,2026-06-16,,ai|ai-research|claude|claude-code|claude-skills|codex|gemini|gpt-5|grpo|huggingface
68,Jeffallan/claude-skills,11561,21,2026-08-07,,ai-agents|claude|claude-code|claude-marketplace|claude-skills
69,huggingface/skills,11059,-1,2026-09-15,,
70,diet103/claude-code-infrastructure-showcase,10021,1,2026-07-13,,
71,Agents365-ai/drawio-skill,9403,27,2026-09-14,,drawio|diagram|agent-skills|architecture-diagram|claude-code|flowchart|uml|sysml|bpmn|image-to-diagram
72,oso95/scroll-world,9307,,2026-07-29,1,
73,nexu-io/html-anything,8876,29,2026-09-15,,agent-skills|ai-agents|ai-design|byok|claude|claude-code|claude-skills|coding-agents|generative-ai|html
