rank,skill,skill_key,platform,vendor,source_skillssh,slug_clawhub,url,repo_url,install,match,description,description_zh,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score,coverage
1,find-skills,ss:vercel-labs/skills/find-skills,skills.sh,vercel-labs,vercel-labs/skills,,https://www.skills.sh/vercel-labs/skills/find-skills,https://github.com/vercel-labs/skills,npx skills add https://github.com/vercel-labs/skills --skill find-skills,single,,,3505780,,,1,C
2,dev-expert,sh:dev-expert,skillhub-cn,,,,,,,single,P8级全栈编程专家（Java/PHP-CMS/前端/MySQL）：API设计、Bug诊断、代码生成与审查、重构、测试、性能基准、技术选型、文档、Spec驱动、任务拆解、项目知识图谱，及工程纪律层（根因调试、阶段导航、事故复盘/SLO、威胁建模/供应链、生产就绪/渐进式发布、AI编码治理、Agent可读性、LLM安全、技术战略、技术影响力、效能度量）。支持 @标识 显式调用。,"编程专家.Skill P8级编程助手,25年实战经验技能Skill，全栈：Java/Php网站/软件项目、API设计、Bug诊断、代码生成、代码审查、重构、测试用例、性能基准、技术选型、文档生成、任务拆解、Spec驱动、Karpathy规范、CMS二次开发、前端设计、MySQL/Mariadb、项目知识图谱，以及工程纪律层（根因调试硬闭环、阶段导航、事故复盘/SLO、威胁建模/供应链安全、生产就绪",,,1231309,0.999,C
3,self-improving-agent,ch:self-improving-agent,clawhub,,,self-improving-agent,https://clawhub.ai/pskoett/skills/self-improving-agent,,openclaw skills install @pskoett/self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,,480543,1225027,0.999,B
4,grill-me,ss:mattpocock/skills/grill-me,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-me,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill grill-me,single,,,1194286,,,0.999,C
5,grill-with-docs,ss:mattpocock/skills/grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-with-docs,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill grill-with-docs,single,,,1020195,,,0.998,C
6,tencent-docs,sh:tencent-docs,skillhub-cn,腾讯科技（深圳）有限公司,,,,,,single,"腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）(","腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）(",,,1126960,0.997,C
7,improve-codebase-architecture,ss:mattpocock/skills/improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/improve-codebase-architecture,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill improve-codebase-architecture,single,,,970837,,,0.997,C
8,tdd,ss:mattpocock/skills/tdd,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/tdd,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill tdd,single,,,943098,,,0.997,C
9,find-skills,sh:find-skills,skillhub-cn,,,,,,,upstream-unresolved,"Helps users discover and install agent skills when they ask questions like ""how do I do X"", ""find a skill for X"", ""is there a skill that can..."", or express...",帮助用户发现和安装智能体技能，当用户询问如「如何做X」、「找X的技能」、「有能做...的吗」等问题时,,,1009575,0.996,C
10,frontend-design,ss:anthropics/skills/frontend-design,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/frontend-design,https://github.com/anthropics/skills,npx skills add https://github.com/anthropics/skills --skill frontend-design,single,,,909014,,,0.996,C
11,agent-browser,sh:agent-browser,skillhub-cn,,,,,,,single,"Browser automation CLI for AI agents. Use when the user needs to interact with websites, including navigating pages, filling forms, clicking buttons, taking...",用于 AI 代理的浏览器自动化 CLI。当用户需要与网站交互（包括浏览页面、填写表单、点击按钮、截图等）时使用。,,,837596,0.995,C
