rank,skill,skill_key,platform,vendor,source_skillssh,slug_clawhub,url,repo_url,install,match,description,description_zh,x_mentions_7d,x_truncated,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_engagement_7d,buzz_score,buzz_shared,category,flags
1,agent-browser,ss:vercel-labs/agent-browser/agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,https://www.skills.sh/vercel-labs/agent-browser/agent-browser,https://github.com/vercel-labs/agent-browser,npx skills add https://github.com/vercel-labs/agent-browser --skill agent-browser,single,,,87,true,3,3,12,13,21,1191,0.948,true,ai-agent,
2,grill-me,ss:mattpocock/skills/grill-me,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-me,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill grill-me,single,,,66,false,2,3,5,12,33,3349,0.931,false,dev-programming,
3,self-improving,ch:self-improving,clawhub,,,self-improving,https://clawhub.ai/ivangdavila/skills/self-improving,,openclaw skills install @ivangdavila/self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,63,true,1,7,41,190,9,4939,0.905,false,ai-agent,
4,frontend-design,ss:anthropics/skills/frontend-design,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/frontend-design,https://github.com/anthropics/skills,npx skills add https://github.com/anthropics/skills --skill frontend-design,single,,,41,false,3,5,3,6,47,880,0.892,true,design-media,
5,nano-banana-pro,ch:nano-banana-pro,clawhub,steipete,,nano-banana-pro,https://clawhub.ai/steipete/skills/nano-banana-pro,,openclaw skills install @steipete/nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,16,false,1,1,5,7,3,247,0.807,false,design-media,
6,skill-creator,ss:anthropics/skills/skill-creator,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/skill-creator,https://github.com/anthropics/skills,npx skills add https://github.com/anthropics/skills --skill skill-creator,single,,,50,false,0,0,1,3,93,2913,0.717,true,ai-agent,
7,browser-use,ss:browser-use/browser-use/browser-use,skills.sh,browser-use,browser-use/browser-use,,https://www.skills.sh/browser-use/browser-use/browser-use,https://github.com/browser-use/browser-use,npx skills add https://github.com/browser-use/browser-use --skill browser-use,single,,,,false,2,6,29,36,6,,0.654,true,ai-agent,
8,find-skills,ss:vercel-labs/skills/find-skills,skills.sh,vercel-labs,vercel-labs/skills,,https://www.skills.sh/vercel-labs/skills/find-skills,https://github.com/vercel-labs/skills,npx skills add https://github.com/vercel-labs/skills --skill find-skills,single,,,9,false,0,1,1,1,130,79,0.652,true,ai-agent,
9,self-improving-agent,ch:self-improving-agent,clawhub,,,self-improving-agent,https://clawhub.ai/pskoett/skills/self-improving-agent,,openclaw skills install @pskoett/self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,36,false,0,0,1,1,2,1125,0.615,true,ai-agent,
10,grill-with-docs,ss:mattpocock/skills/grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-with-docs,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill grill-with-docs,single,,,15,false,0,0,2,2,4,2854,0.612,false,dev-programming,
11,diagnosing-bugs,ss:mattpocock/skills/diagnosing-bugs,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/diagnosing-bugs,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill diagnosing-bugs,single,,,,false,1,1,0,0,4,,0.491,false,dev-programming,
12,vercel-react-best-practices,ss:vercel-labs/agent-skills/vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,https://www.skills.sh/vercel-labs/agent-skills/vercel-react-best-practices,https://github.com/vercel-labs/agent-skills,npx skills add https://github.com/vercel-labs/agent-skills --skill vercel-react-best-practices,single,,,1,false,0,0,0,0,4,0,0.44,false,dev-programming,
13,image-to-video,ss:genmedia-labs/skills/image-to-video,skills.sh,genmedia-labs,genmedia-labs/skills,,https://www.skills.sh/genmedia-labs/skills/image-to-video,https://github.com/genmedia-labs/skills,npx skills add https://github.com/genmedia-labs/skills --skill image-to-video,single,,,,false,0,0,12,19,1,,0.412,true,design-media,
14,auto-updater,ch:auto-updater,clawhub,,,auto-updater,https://clawhub.ai/maximeprades/skills/auto-updater,,openclaw skills install @maximeprades/auto-updater,upstream,"Automatically update Clawdbot and all installed skills once daily. Runs via cron, checks for updates, applies them, and messages the user with a summary of what changed.",每日自动更新 Clawdbot 及所有已安装技能。运行 cron 检查更新并应用，同时向用户发送变更摘要。,0,false,0,0,3,13,1,0,0.284,false,it-ops-security,
