skill_key,tweet_url,created_at,lang,favorites,retweets,relevance
find-skills,https://x.com/i/status/2103098161892139207,2026-09-24T12:24:10.000Z,en,9,0,0.44
find-skills,https://x.com/i/status/2102828458749636663,2026-09-23T18:32:27.000Z,en,104,26,0.46
find-skills,https://x.com/i/status/2102758905835295211,2026-09-23T13:56:05.000Z,en,4,0,0.59
find-skills,https://x.com/i/status/2102488861255307302,2026-09-22T20:03:01.000Z,en,12,11,0.46
find-skills,https://x.com/i/status/2102450782100713530,2026-09-22T17:31:42.000Z,en,12,12,0.47
find-skills,https://x.com/i/status/2102422120529891620,2026-09-22T15:37:49.000Z,en,1,0,0.91
find-skills,https://x.com/i/status/2102422052661502449,2026-09-22T15:37:33.000Z,en,5,1,0.09
find-skills,https://x.com/i/status/2102235824704336011,2026-09-22T03:17:32.000Z,en,0,0,0.91
find-skills,https://x.com/i/status/2102095481153483067,2026-09-21T17:59:52.000Z,en,1,0,0.48
find-skills,https://x.com/i/status/2102092467394724071,2026-09-21T17:47:53.000Z,ar,3,0,0.92
find-skills,https://x.com/i/status/2101761885079298142,2026-09-20T19:54:16.000Z,en,0,0,0.05
find-skills,https://x.com/i/status/2100833660240867721,2026-09-18T06:25:50.000Z,en,2,0,0.77
find-skills,https://x.com/i/status/2100769082920538475,2026-09-18T02:09:14.000Z,zxx,1,0,0.2
self-improving-agent,https://x.com/i/status/2103222236790587902,2026-09-24T20:37:11.000Z,en,1,0,0.86
self-improving-agent,https://x.com/i/status/2103154792210026721,2026-09-24T16:09:11.000Z,en,1,0,0.59
self-improving-agent,https://x.com/i/status/2103086812642300188,2026-09-24T11:39:04.000Z,en,0,0,0.84
self-improving-agent,https://x.com/i/status/2103007148959805785,2026-09-24T06:22:30.000Z,zxx,99,0,0.15
self-improving-agent,https://x.com/i/status/2102947311617708375,2026-09-24T02:24:44.000Z,en,0,0,0.93
self-improving-agent,https://x.com/i/status/2102853768266256738,2026-09-23T20:13:02.000Z,en,382,62,0.86
self-improving-agent,https://x.com/i/status/2102833858622173387,2026-09-23T18:53:55.000Z,en,5,2,0.8
self-improving-agent,https://x.com/i/status/2102826324742070753,2026-09-23T18:23:59.000Z,en,0,0,0.87
self-improving-agent,https://x.com/i/status/2102803446915117531,2026-09-23T16:53:04.000Z,en,199,21,0.87
self-improving-agent,https://x.com/i/status/2102802621664985241,2026-09-23T16:49:47.000Z,en,487,54,0.38
self-improving-agent,https://x.com/i/status/2102761600524730570,2026-09-23T14:06:47.000Z,en,1,0,0.85
self-improving-agent,https://x.com/i/status/2102706766370730454,2026-09-23T10:28:54.000Z,en,0,0,0.84
self-improving-agent,https://x.com/i/status/2102698998515761629,2026-09-23T09:58:02.000Z,en,732,104,0.85
self-improving-agent,https://x.com/i/status/2102580647843987925,2026-09-23T02:07:45.000Z,en,0,0,0.82
self-improving-agent,https://x.com/i/status/2102580039305089529,2026-09-23T02:05:20.000Z,en,3,1,0.83
self-improving-agent,https://x.com/i/status/2102479343733588083,2026-09-22T19:25:12.000Z,en,1,1,0.83
self-improving-agent,https://x.com/i/status/2102476391501713902,2026-09-22T19:13:28.000Z,en,0,0,0.82
self-improving-agent,https://x.com/i/status/2102462320761069687,2026-09-22T18:17:33.000Z,en,180,18,0.9
self-improving-agent,https://x.com/i/status/2102443375601541145,2026-09-22T17:02:16.000Z,en,0,0,0.84
self-improving-agent,https://x.com/i/status/2102433399034257726,2026-09-22T16:22:38.000Z,en,0,0,0.82
self-improving-agent,https://x.com/i/status/2102418994510639280,2026-09-22T15:25:24.000Z,en,98,8,0.88
self-improving-agent,https://x.com/i/status/2102405656783491170,2026-09-22T14:32:24.000Z,en,61,23,0.7
self-improving-agent,https://x.com/i/status/2102356550639653135,2026-09-22T11:17:16.000Z,en,3,6,0.25
self-improving-agent,https://x.com/i/status/2102248829592703229,2026-09-22T04:09:13.000Z,en,4,0,0.87
self-improving-agent,https://x.com/i/status/2102131271568703643,2026-09-21T20:22:05.000Z,en,11,0,0.8
self-improving-agent,https://x.com/i/status/2102056108248711525,2026-09-21T15:23:25.000Z,en,0,0,0.13
self-improving-agent,https://x.com/i/status/2102037817182609568,2026-09-21T14:10:44.000Z,en,4,0,0.03
self-improving-agent,https://x.com/i/status/2102021511666180208,2026-09-21T13:05:56.000Z,en,1,0,0.09
self-improving-agent,https://x.com/i/status/2102019641136566772,2026-09-21T12:58:30.000Z,en,4,0,0.53
self-improving-agent,https://x.com/i/status/2101975158227620240,2026-09-21T10:01:45.000Z,en,1,0,0.85
self-improving-agent,https://x.com/i/status/2101954679513198677,2026-09-21T08:40:22.000Z,en,0,0,0.78
self-improving-agent,https://x.com/i/status/2101868240775544983,2026-09-21T02:56:54.000Z,en,0,0,0.8
self-improving-agent,https://x.com/i/status/2101848859496624609,2026-09-21T01:39:53.000Z,zh,3,0,0.86
self-improving-agent,https://x.com/i/status/2101835306953736396,2026-09-21T00:46:02.000Z,en,224,28,0.77
