rank,platform,vendor,skills_count,tracked_skills,total_installs_or_downloads,featured_skill
1,skills.sh,microsoft,582,582,7098914,
2,skills.sh,vercel-labs,252,252,3192303,
3,skills.sh,github,406,406,2002122,
4,skills.sh,anthropics,605,605,1942412,
5,skills.sh,firebase,55,55,685617,
6,skills.sh,firecrawl,286,286,482310,
7,skills.sh,nvidia,1063,1063,428478,
8,skills.sh,remotion-dev,19,19,305359,
9,skills.sh,flutter,88,88,286211,
10,skills.sh,expo,18,18,283306,
11,skills.sh,google-labs-code,30,30,260907,
12,skills.sh,supabase,17,17,250512,
13,skills.sh,better-auth,13,13,133782,
14,skills.sh,aws,99,99,113497,
15,skills.sh,vercel,131,131,112417,
16,skills.sh,langchain-ai,86,86,94506,
17,skills.sh,cloudflare,138,138,93513,
18,skills.sh,tavily-ai,20,20,93057,
19,skills.sh,getsentry,302,302,88331,
20,skills.sh,clerk,31,31,82192,
21,skills.sh,browser-use,11,11,79585,
22,skills.sh,openai,278,278,73063,
23,skills.sh,shopify,37,37,70113,
24,skills.sh,parallel-web,16,16,67261,
25,skills.sh,apify,38,38,54042,
26,skills.sh,prisma,95,95,40464,
27,skills.sh,callstackincubator,21,21,39322,
28,skills.sh,rivet-dev,11,11,37606,
29,skills.sh,neondatabase,22,22,37006,
30,skills.sh,google-gemini,29,29,35404,
31,skills.sh,mcp-use,6,6,30083,
32,skills.sh,resend,13,13,28119,
33,skills.sh,apollographql,15,15,24832,
34,skills.sh,hashicorp,74,74,24470,
35,skills.sh,figma,25,25,23396,
36,skills.sh,launchdarkly,68,68,22672,
37,skills.sh,coinbase,29,29,22509,
38,skills.sh,mongodb,9,9,21712,
39,skills.sh,mastra-ai,19,19,21356,
40,skills.sh,elevenlabs,12,12,20074,
41,clawhub,steipete,60,45,2268069,
42,clawhub,mvanhorn,11,3,26765,
43,clawhub,heygen-com,23,1,10145,
44,clawhub,sdk-team,300,1,8237,
45,skillhub-cn,腾讯科技（深圳）有限公司,108,108,2659988,tencent-docs
46,skillhub-cn,乐萱同行科技（深圳）有限公司,110,110,1991259,beatra
47,skillhub-cn,零一裂变（深圳）科技有限公司,43,43,1794060,lingyi-wx-video-decomposer-plus
48,skillhub-cn,成都智创未来教育管理合伙企业（有限合伙）,54,54,1244066,multi-search-engine
49,skillhub-cn,精英量界（武汉）工程管理有限公司,34,34,1005476,bid-data-radar-ai-query
50,skillhub-cn,武汉览山科技有限公司,27,27,871359,lskj-recommend
51,skillhub-cn,昆明秀派科技有限公司,77,77,586341,handwritten-newspaper-template-generator-showapi
52,skillhub-cn,上海钢联电子商务股份有限公司,6,6,514751,mysteel-datasearch
53,skillhub-cn,北京达维时代科技有限公司,21,21,451410,gongwenxiezuo
54,skillhub-cn,上海劳希科技有限公司,16,16,360084,ppt-craft-master
55,skillhub-cn,重庆维普朗润数据科技有限公司,2,2,304080,luhe-paper-free-pro
56,skillhub-cn,北京百炼智能科技有限公司,12,12,204045,biaoshu-bailian
57,skillhub-cn,世舶科技（武汉）有限公司,12,12,154686,sbkj
58,skillhub-cn,四川省熵衍震乾信息技术咨询服务有限公司,2,2,143075,gongwen-writting-2
59,skillhub-cn,昆仑增长（深圳）技术有限公司,66,66,118424,excel
60,skillhub-cn,上海智雨千泽科技有限公司,49,49,113544,corporate-legal
61,skillhub-cn,江苏天好富兴数据技术有限公司,2,2,102353,telehot-bid-compliance-check
62,skillhub-cn,北京喜鹊云智科技有限公司,1,1,58883,xique-ai
63,skillhub-cn,惠州顺视智能科技有限公司,4,4,54154,cad-design-and-drafting
64,skillhub-cn,上海逢俞网络科技有限公司,1,1,38642,fengyupentest
65,skillhub-cn,莆田市星华智联科技有限公司,12,12,34280,ixhlink-skills-image-edit
66,skillhub-cn,万得信息技术股份有限公司,21,21,33609,alice-financial-copilot
67,skillhub-cn,深圳市聚星瀚贸易有限公司,1,1,32312,omni-viral-video-deconstruction
68,skillhub-cn,北京极睿科技有限责任公司,8,8,30061,video-generation
69,skillhub-cn,泛微网络科技股份有限公司,20,20,28091,weaver-e9-builder
70,skillhub-cn,红狐数据,18,18,27620,douyin-account-diagnosis-redfox
71,skillhub-cn,湖南天创数智科技有限公司,3,3,25667,qingxi-skill-01
72,skillhub-cn,南京罗斯蒙德信息科技有限公司,7,7,23785,rosemond-contract-compliance
73,skillhub-cn,浙江同花顺网络科技有限公司,1,1,22309,hithink-finance
74,skillhub-cn,上海恒生聚源数据服务有限公司,17,17,21853,jy-newspublicopinion-risk-warning
