skill_key,query,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_mentions_7d,x_truncated,x_pages,x_engagement_7d,llm_filtered,x_raw_7d,x_filtered,judge_model
find-skills,"""find-skills""",0,0,1,1,198,4,false,1,8,true,12,true,typesafe/jev-1.13
self-improving-agent,"""self-improving-agent""",0,0,1,1,3,45,false,3,2434,true,58,true,typesafe/jev-1.13
grill-me,"""grill-me""",6,7,2,11,24,73,false,5,1017,true,87,true,typesafe/jev-1.13
skill-vetter,"""skill-vetter""",0,0,0,0,1,0,false,1,0,false,0,false,
grill-with-docs,"""grill-with-docs""",0,0,1,1,11,12,false,2,500,true,20,true,typesafe/jev-1.13
self-improving,"""self-improving""",1,6,24,141,7,59,true,5,3295,true,100,true,typesafe/jev-1.13
improve-codebase-architecture,"""improve-codebase-architecture""",0,0,0,0,0,2,false,1,2,false,2,true,typesafe/jev-1.13
github,"""github"" skill",0,170,0,77,1743,1,true,5,0,true,99,true,typesafe/jev-1.13
tdd,"""tdd"" skill",0,1,4,4,41,39,true,5,445,true,100,true,typesafe/jev-1.13
ontology,"""ontology"" skill",0,1,0,0,5,39,true,5,331,true,100,true,typesafe/jev-1.13
agent-browser,"""agent-browser""",5,6,11,13,36,77,true,5,141,true,100,true,typesafe/jev-1.13
gog,"""gog"" skill",0,0,0,1,0,4,false,1,1,true,13,true,typesafe/jev-1.13
frontend-design,"""frontend-design""",2,3,2,8,66,36,false,4,2705,true,71,true,typesafe/jev-1.13
skillscan,"""skillscan"" skill",0,0,0,0,0,0,false,1,0,false,0,false,
setup-matt-pocock-skills,"""setup-matt-pocock-skills""",0,0,0,0,7,0,false,1,0,false,2,true,typesafe/jev-1.13
proactive-agent,"""proactive-agent""",0,0,0,0,2,41,false,3,352,false,46,true,typesafe/jev-1.13
handoff,"""handoff"" skill",2,6,1,5,180,72,true,5,99,true,100,true,typesafe/jev-1.13
weather,"""weather"" skill",0,14,0,9,4,1,true,5,0,true,100,true,typesafe/jev-1.13
triage,"""triage"" skill",1,6,1,4,184,13,true,5,21,true,100,true,typesafe/jev-1.13
