rank,owner,total_installs,repos,skills,featured_skill
1,microsoft,7098914,51,582,
2,vercel-labs,3192303,43,252,
3,github,2002122,8,406,
4,anthropics,1942412,18,605,
5,firebase,685617,4,55,
6,firecrawl,482310,14,286,
7,nvidia,428478,47,1063,
8,remotion-dev,305359,4,19,
9,flutter,286211,4,88,
10,expo,283306,2,18,
11,google-labs-code,260907,4,30,
12,supabase,250512,3,17,
13,better-auth,133782,3,13,
14,aws,113497,1,99,
15,vercel,112417,23,131,
16,langchain-ai,94506,6,86,
17,cloudflare,93513,17,138,
18,tavily-ai,93057,2,20,
19,getsentry,88331,21,302,
20,clerk,82192,2,31,
21,browser-use,79585,5,11,
22,openai,73063,8,278,
23,shopify,70113,4,37,
24,parallel-web,67261,2,16,
25,apify,54042,5,38,
26,prisma,40464,4,95,
27,callstackincubator,39322,9,21,
28,rivet-dev,37606,3,11,
29,neondatabase,37006,7,22,
30,google-gemini,35404,4,29,
31,mcp-use,30083,2,6,
32,resend,28119,6,13,
33,apollographql,24832,2,15,
34,hashicorp,24470,5,74,
35,figma,23396,2,25,
36,launchdarkly,22672,3,68,
37,coinbase,22509,2,29,
38,mongodb,21712,1,9,
39,mastra-ai,21356,3,19,
40,elevenlabs,20074,2,12,
41,wordpress,20034,2,18,
42,browserbase,19136,2,16,
43,posthog,15742,7,262,
44,medusajs,13678,2,30,
45,astronomer,13276,1,29,
46,stripe,12979,5,11,
47,mapbox,12772,2,24,
48,nuxt,12065,4,7,
49,sanity-io,11102,6,48,
50,pytorch,9519,1,14,
51,planetscale,9357,2,8,
52,auth0,9050,1,34,
53,upstash,9050,10,32,
54,triggerdotdev,8828,2,13,
55,huggingface,8755,11,45,
56,webflow,8601,1,37,
57,facebook,6984,4,14,
58,pulumi,6776,2,32,
59,vapiai,6688,1,15,
60,sveltejs,6136,2,3,
61,clickhouse,6122,6,33,
62,encoredev,5642,1,30,
63,brave,5540,2,26,
64,langfuse,5465,2,23,
65,wix,4936,2,23,
66,antithesishq,4922,1,17,
67,coderabbitai,4845,3,6,
68,datadog-labs,4530,3,43,
69,axiomhq,4352,3,12,
70,n8n-io,4215,2,41,
71,dagster-io,4212,4,53,
72,makenotion,3569,4,23,
73,tldraw,3362,1,19,
74,dbt-labs,3003,1,14,
75,redis,2914,2,15,
76,base,2678,3,25,
77,automattic,2677,9,40,
78,streamlit,2613,2,38,
79,factory-ai,2430,3,43,
80,runwayml,2188,2,32,
81,livekit,2059,1,1,
82,semgrep,2008,3,6,
83,tinybirdco,1811,1,4,
84,temporalio,1493,6,7,
85,bitwarden,1467,3,65,
86,kotlin,1329,1,4,
87,denoland,1188,1,6,
88,dash0hq,941,1,4,
89,signoz,844,1,13,
90,pinecone-io,758,4,27,
91,openshift,647,5,24,
92,deepgram,539,4,22,
93,exploreomni,460,3,27,
94,contentstack,249,2,21,
95,box,92,1,5,
96,projectopensea,86,1,1,
97,contentful,84,2,7,
98,uniformdev,60,1,11,
99,convex-dev,54,1,9,
100,whopio,22,1,1,
101,aave,10,1,5,
102,modal-labs,1,1,1,
