rank,owner,total_installs,repos,skills,featured_skill
1,microsoft,7098914,51,582,
2,vercel-labs,3192306,43,252,
3,github,2002106,8,406,
4,anthropics,1942411,18,605,
5,firebase,685617,4,55,
6,firecrawl,482310,14,286,
7,remotion-dev,305359,4,19,
8,flutter,286211,4,88,
9,expo,283306,2,18,
10,google-labs-code,260911,4,30,
11,supabase,250512,3,17,
12,better-auth,133782,3,13,
13,aws,113497,1,99,
14,vercel,112416,23,131,
15,langchain-ai,94506,6,86,
16,cloudflare,93513,17,138,
17,tavily-ai,93049,2,20,
18,getsentry,88331,21,302,
19,clerk,82192,2,31,
20,browser-use,79585,5,11,
21,openai,73064,8,278,
22,shopify,70113,4,37,
23,parallel-web,67261,2,16,
24,apify,54042,5,38,
25,prisma,40464,4,95,
26,callstackincubator,39322,9,21,
27,rivet-dev,37606,3,11,
28,neondatabase,37005,7,22,
29,google-gemini,35404,4,29,
30,mcp-use,30083,2,6,
31,resend,28119,6,13,
32,apollographql,24832,2,15,
33,hashicorp,24470,5,74,
34,figma,23396,2,25,
35,launchdarkly,22672,3,68,
36,coinbase,22509,2,29,
37,mongodb,21712,1,9,
38,mastra-ai,21356,3,19,
39,elevenlabs,20074,2,12,
40,wordpress,20034,2,18,
41,browserbase,19136,2,16,
42,posthog,15742,7,262,
43,medusajs,13678,2,30,
44,astronomer,13276,1,29,
45,stripe,12979,5,11,
46,mapbox,12772,2,24,
47,nuxt,12065,4,7,
48,sanity-io,11102,6,48,
49,pytorch,9519,1,14,
50,planetscale,9357,2,8,
51,auth0,9050,1,34,
52,upstash,9050,10,32,
53,triggerdotdev,8828,2,13,
54,huggingface,8755,11,45,
55,webflow,8601,1,37,
56,facebook,6984,4,14,
57,pulumi,6776,2,32,
58,sveltejs,6136,2,3,
59,clickhouse,6122,6,33,
60,encoredev,5642,1,30,
61,brave,5540,2,26,
62,langfuse,5465,2,23,
63,wix,4936,2,23,
64,coderabbitai,4845,3,6,
65,datadog-labs,4530,3,43,
66,axiomhq,4352,3,12,
67,n8n-io,4215,2,41,
68,dagster-io,4212,4,53,
69,makenotion,3569,4,23,
70,tldraw,3362,1,19,
71,dbt-labs,3003,1,14,
72,redis,2914,2,15,
73,base,2678,3,25,
74,automattic,2677,9,40,
75,streamlit,2613,2,38,
76,factory-ai,2430,3,43,
77,runwayml,2188,2,32,
78,livekit,2059,1,1,
79,semgrep,2008,3,6,
80,tinybirdco,1811,1,4,
81,temporalio,1493,6,7,
82,bitwarden,1467,3,65,
83,kotlin,1329,1,4,
84,denoland,1188,1,6,
85,dash0hq,941,1,4,
86,signoz,844,1,13,
87,pinecone-io,758,4,27,
88,openshift,647,5,24,
89,deepgram,539,4,22,
90,exploreomni,460,3,27,
91,contentstack,249,2,21,
92,box,92,1,5,
93,projectopensea,86,1,1,
94,contentful,84,2,7,
95,convex-dev,54,1,9,
96,whopio,22,1,1,
97,modal-labs,1,1,1,
98,nvidia,0,1,0,
